prompt,validation_response,generated_response
"Task: Convert verbose patient questions into short medical questions.

Input: new treatment for lipoma of forearm I have had two surgeries on my right forearm. The last was 2 years ago. The lipoma has returned. Are there any new treatments or experimental procedures that might help me?
Output:",What are the latest treatments for recurrent lipoma of the arm?,What are new treatments or procedures for recurring lipoma of the right forearm?
"Task: Convert verbose patient questions into short medical questions.

Input: Beckwith-Wieddeman Syndrome. I would like to request further knowledge on this specific disorder.
Output:",Where can I find information about Beckwith-Wieddeman Syndrome?,What is Beckwith-Wiedemann Syndrome and where can I learn more about it?
"Task: Convert verbose patient questions into short medical questions.

Input: MedlinePlus Service Request if A PERSON HAS BEEN USING MORPHINE FOR YEARS (10)FOR PAIN RELIEF,AND ARE EXHIBITING THE FLU-LIKE INABILITY TO THINK OR COMMUNICATE, AS A LOVING FRIEND , COULD YOU GUESS/ESTIMATE FOR ME HOW LONG THE HELL THEY'RE EXPERIENCING MAY LAST?1 WEEK, 1 YEAR?
Output:",Are the long-term effects of morphine reversible?,"Here's a concise version of the input:

How long will it take to experience withdrawal symptoms from long-term morphine use?"
"Task: Convert verbose patient questions into short medical questions.

Input: How is ""elderly"" defined in cautionarys regarding dosage. Lower dosages of various medications are recommended for ""the elderly."" Please define that age for me. Thank you.
Output:","How is ""elderly"" defined in drug precautions regarding dosage?","What is the age range for ""elderly"" patients receiving medication dosages adjustments?"
"Task: Convert verbose patient questions into short medical questions.

Input: Im suffering from Beta Thalassemia Major from birth. I have been transfusing every 22 days. Now i heard about a tablet named mylostat 500 (Hydroxyurea). I wanted to know wheather the same will be suited for me.
Output:",Is mylostat 500 a treatment for Beta Thalassemia Major?,Is Hydroxyurea (Mylostat 500) suitable for managing Beta Thalassemia Major?
"Task: Convert verbose patient questions into short medical questions.

Input: I was wondering if you guys could give me details and information on the first diagnoses on Retinoblastoma? Like the the year it was discovered, who discovered it, what did that person first think about it? I am just looking for a reliable source for a genetic research paper I am typing. [NAME]
Output:",Where can I get historical information on the first diagnoses of Retinoblastoma?,What are key historical details and current research findings on Retinoblastoma?
"Task: Convert verbose patient questions into short medical questions.

Input: hospital stay for a hitiala hernia to be removed?. I have a hernia that needs to be removed how long would I be in the hospital after it is removed?
Output:",How long would I be in the hospital after a hiatal hernia removal?,"Here is the summary of the patient health query into one question of 15 words or less:

How long will my hospital stay be after hernia removal surgery?"
"Task: Convert verbose patient questions into short medical questions.

Input: insomnia What can I give my [AGE] father to help him sleep? He said he will take whatever. He is not on any medication, not allergic to anything. Fully ambilatory!
Output:",What are treatments for insomnia?,What can I give my 70-year-old father with insomnia that's not addictive?
"Task: Convert verbose patient questions into short medical questions.

Input: Bad Breath I have very bad breath and at times it can make myself and others sick. I need some advice as to what I need to do.
Output:",What are the treatments for bad breath?,What can be done for bad breath that makes me and others sick at times?
"Task: Convert verbose patient questions into short medical questions.

Input: Gluten Free Product? HI, I was just wondering the source of the MALTODEXTRIN (UNII: 7CVR7L4A2D) in your product DEXTROAMPHETAMINE SULFATE- dextroamphetamine sulfate tablet NDC Code(s): 0555-0952-02, 0555-0953-02 . I was prescribed this medication and just wanted to make sure it was sourced from corn or something besides wheat because I am allergic to gluten!
Output:",What are the ingredients of dextroamphetamine sulfate and is it gluten free?,Is MALTODEXTRIN in DEXTROAMPHETAMINE SULFATE gluten-free?
